objectid,title,attribution,classification,iiifthumburl
35079,Don Pedro Alvarez de Toledo,Florentine or Neapolitan 16th Century,Sculpture,"https://api.nga.gov/iiif/3421ff7d-0bd3-4a7d-8d2f-7a45afd023cc/full/!200,200/0/default.jpg"
35079,Don Pedro Alvarez de Toledo,Florentine or Neapolitan 16th Century,Sculpture,"https://api.nga.gov/iiif/4fed4925-9f8b-4cd8-9881-5e91a933578a/full/!200,200/0/default.jpg"
35079,Don Pedro Alvarez de Toledo,Florentine or Neapolitan 16th Century,Sculpture,"https://api.nga.gov/iiif/bd09813a-90f8-4f02-a32f-1f1a02afb102/full/!200,200/0/default.jpg"
37005,Young Woman in White,Robert Henri,Painting,"https://api.nga.gov/iiif/305ae57e-b305-4961-a981-aafd94fe7e72/full/!200,200/0/default.jpg"
37006,Head of an Old Man,Attributed to Alphonse Legros,Drawing,"https://api.nga.gov/iiif/f8d63b9b-9561-4835-b95b-01ca2337cf12/full/!200,200/0/default.jpg"
37007,The Virgin and Child on the Crescent,Sebald Beham,Print,"https://api.nga.gov/iiif/5ece5a2a-b3f8-42a6-8df5-5b49143ff0ba/full/!200,200/0/default.jpg"
37008,Head of a Man with Upturned Eyes,Alphonse Legros,Painting,"https://api.nga.gov/iiif/12ab44f6-fc2a-448b-8580-5953c7bb3957/full/!200,200/0/default.jpg"
37014,Mab and Cupid (Mab et Cupidon),Alphonse Legros,Print,"https://api.nga.gov/iiif/e44b7ddc-45d7-462f-ba08-e3d2929532c8/full/!200,200/0/default.jpg"
37618,"Fountain: Grotesque, Children and Basin (Une fountaine: Masque, enfants et bassin)",Alphonse Legros,Print,"https://api.nga.gov/iiif/b00d5ec0-b965-4126-873c-e6b6abbb0a3f/full/!200,200/0/default.jpg"
37620,Orphans (Les orphelins (?)),Alphonse Legros,Print,"https://api.nga.gov/iiif/1ceb1fb4-f4dc-4ae5-89ed-47420826f594/full/!200,200/0/default.jpg"
39731,Landscape with a Boy Fishing,Domenico Campagnola,Drawing,"https://api.nga.gov/iiif/92a1ee0c-c3a2-4cbf-b931-be87bc1104a4/full/!200,200/0/default.jpg"
39761,Miss Julia Marlowe,Irving R. Wiles,Painting,"https://api.nga.gov/iiif/ce92c8b7-3f38-48bf-a428-7c9b34c4e920/full/!200,200/0/default.jpg"
39756,Charles I of England and the Duke of Hamilton,Sir Robert Strange,Print,"https://api.nga.gov/iiif/f2d4f633-2e74-4261-8810-b28c7324f6b3/full/!200,200/0/default.jpg"
39757,"Augustus Stellingwerf, First Lord Admiral of Friesland",Abraham Blooteling after Lodewyk van der Helst,Print,"https://api.nga.gov/iiif/7e386a79-bd8b-436b-8ada-4569d231eb4c/full/!200,200/0/default.jpg"
39760,Mending the Harness,Albert Pinkham Ryder,Painting,"https://api.nga.gov/iiif/868be5f8-bd09-44b4-a173-ab65103bbf4f/full/!200,200/0/default.jpg"
41579,Alexander Hamilton,John Trumbull,Painting,"https://api.nga.gov/iiif/f2f29786-a004-473b-a3fb-c7ca7d36e409/full/!200,200/0/default.jpg"
41582,The Feast of Herod and the Beheading of Saint John the Baptist,Benozzo Gozzoli,Painting,"https://api.nga.gov/iiif/901465e5-58b1-458d-9579-4ef7ed508bd5/full/!200,200/0/default.jpg"
41594,Venus Blindfolding Cupid,Workshop or Follower of Titian,Painting,"https://api.nga.gov/iiif/9c7a8e0c-8e74-492a-9860-f118ce9af68e/full/!200,200/0/default.jpg"
41598,Madonna and Child [obverse],Albrecht Dürer,Painting,"https://api.nga.gov/iiif/878db7e6-10ae-4cae-ba5d-6d6f5c413ae8/full/!200,200/0/default.jpg"
41616,Madonna and Child Enthroned with Donor,Carlo Crivelli,Painting,"https://api.nga.gov/iiif/de88485d-7b9d-4d49-a08d-3a6591dd0262/full/!200,200/0/default.jpg"
41643,The Rule of Mars [right panel],Workshop of Albrecht Altdorfer,Painting,"https://api.nga.gov/iiif/30556935-930a-4a4a-8f00-a3621b61e34b/full/!200,200/0/default.jpg"
41734,Emperors Charles V and Ferdinand I,Christoph Bockstorfer,Print,"https://api.nga.gov/iiif/b57dc715-56c1-45b8-9bc4-b244a36bae38/full/!200,200/0/default.jpg"
